time_hours,rem_score,rem_detected,eog_std,eog_range,theta_delta_ratio,alpha_power,beta_power
0.004166666666666667,2.0720215077280475,1,9.556580442559399e-05,0.0006026896214896215,0.0848374851671429,5.8878752969777356e-12,6.464898612049017e-12
0.008333333333333333,0.7723988353038049,0,6.777102364564241e-05,0.0006026896214896215,0.06972132326254693,4.579120715720382e-12,7.339635687350866e-12
0.0125,2.683108497497772,1,0.00010619689881994848,0.0007934017094017095,0.06807353739844105,1.0062162749926211e-11,2.2149693829213783e-11
0.016666666666666666,2.851181177008778,1,0.00011720655451522176,0.0007934017094017095,0.06345606254115604,1.0880295086842873e-11,2.4895520794349353e-11
0.020833333333333332,1.1298165425227347,0,9.770520726666423e-05,0.0006968136752136752,0.041273578572783506,2.2016376258926903e-11,1.0195266560324027e-11
0.025,1.1580509945147544,0,8.406343074042161e-05,0.0006968136752136752,0.054228530009259895,3.180300702265685e-11,7.553145005330276e-12
0.029166666666666667,-1.7446583937833,0,2.8335501606459235e-05,0.0002459052503052503,0.07638670235627606,2.8361581321397312e-11,5.589623516287192e-12
0.03333333333333333,-1.4819910149659439,0,1.65766944856811e-05,0.00013157655677655677,0.11044948395349702,2.6722186501511163e-11,5.248480524202553e-12
0.0375,0.17778422059562926,0,1.903513445503434e-05,0.00020697435897435896,0.14874654244326768,2.35974991828255e-11,4.960695645431573e-12
0.041666666666666664,2.6984090846409154,1,5.0277001286170904e-05,0.0005297557997557998,0.1540941777281813,1.5231528134552558e-11,6.479723023516186e-12
0.04583333333333333,1.3194533212366573,0,6.08408281614399e-05,0.0005297557997557998,0.10255242745586746,6.179549330504805e-12,6.217881195925611e-12
0.05,1.3760302269773104,0,9.525687530281911e-05,0.0006347213675213675,0.0594503997116756,1.0040760177302669e-11,1.799778107763182e-11
0.05416666666666667,1.8002026459741303,1,0.00010583970965895385,0.0006347213675213675,0.06304463766542023,1.1425781265190909e-11,2.239017421621054e-11
0.058333333333333334,1.5162723221839327,1,9.727518578507472e-05,0.0006411277167277167,0.06107662518626277,6.024456397154653e-12,1.0207867493759245e-11
0.0625,1.3133453888219648,0,9.45249505789263e-05,0.0006711882783882783,0.053203963542131805,4.254019691453483e-12,6.132771902261117e-12
0.06666666666666667,1.5466601688014538,1,8.438352832326157e-05,0.000643098901098901,0.07316350700013612,4.6576029724587945e-12,6.163152556635617e-12
0.07083333333333333,1.53266107203046,1,7.050521367197057e-05,0.0006224014652014652,0.0878615485742184,5.7787293517842035e-12,6.59832696104893e-12
0.075,0.9889892534939708,0,7.115669495885204e-05,0.000652954822954823,0.06648405253929973,5.299676957893505e-12,8.638754954640736e-12
0.07916666666666666,2.6795004158969093,1,0.00012222136508992497,0.0007805890109890111,0.055508914344583646,6.0787293957071054e-12,1.2032372735245811e-11
0.08333333333333333,2.12211831968361,1,0.0001145145750694311,0.0007559492063492063,0.04865436848614098,6.742881852706857e-12,1.0154580403432599e-11
0.0875,0.46661915102213025,0,8.644389861212705e-05,0.0005657299145299145,0.04886279820514855,6.934283098431311e-12,9.293291160660732e-12
0.09166666666666666,1.3061183520333925,0,9.921787140582245e-05,0.0006204302808302808,0.055751935334695364,7.468622513949662e-12,1.1066979207544034e-11
0.09583333333333334,0.7884912892563744,0,8.098636017183811e-05,0.000611067155067155,0.05735663398773179,6.300458033609168e-12,1.1259623989542666e-11
0.1,0.3382344022889755,0,6.67247352526722e-05,0.0005484820512820512,0.06476822992282742,5.355605323490779e-12,9.55737643858669e-12
0.10416666666666667,1.4299817872159744,1,8.968609907792994e-05,0.0005962832722832723,0.07128515395700022,6.262421300323983e-12,8.710792127771555e-12
0.10833333333333334,1.494500616539351,1,9.770254131131857e-05,0.0005484820512820513,0.07267824173857873,6.580956924814022e-12,9.038663065291472e-12
0.1125,2.3170114430744766,1,9.781489351045869e-05,0.0006913929181929183,0.07822939897772119,5.1921588375580615e-12,8.409481228468609e-12
0.11666666666666667,1.4797685887730632,1,9.18729448951461e-05,0.0006913929181929183,0.05788701773865722,3.901681673449827e-12,6.839953199992092e-12
0.12083333333333333,-0.2146315872157311,0,6.757155745227592e-05,0.0005445396825396826,0.047645112657880385,2.9123798638955515e-12,5.373923286031884e-12
0.125,1.1818433498895722,0,9.437698346598247e-05,0.0006628107448107448,0.05045637232862514,5.360860363984436e-12,7.422524732125697e-12
0.12916666666666668,1.2665981577747094,0,9.371946456850533e-05,0.0006628107448107448,0.05363158298278685,5.975294148181655e-12,8.384318158913384e-12
0.13333333333333333,-1.5929646703717624,0,4.6488857978967514e-05,0.0003385509157509157,0.052290108711668254,4.1606408583105285e-12,5.605339570030638e-12
0.1375,0.32671683279436176,0,7.708525123521813e-05,0.0005021592185592185,0.06155610508363527,4.805797285882266e-12,6.470051885571114e-12
0.14166666666666666,1.6482117662739395,1,0.00010787188535471781,0.0006204302808302808,0.058545200032983,5.1264028058342136e-12,7.700445730588126e-12
0.14583333333333334,1.95889328740551,1,0.00010358162586311358,0.0006879433455433456,0.06263508251373595,7.136162921913012e-12,1.087502063019044e-11
0.15,1.7313855942031657,1,9.782899713105505e-05,0.0006662603174603175,0.06373483648680874,6.8121980843623695e-12,9.55737391250599e-12
0.15416666666666667,0.8477461345041507,0,8.66494504485749e-05,0.0005637587301587302,0.06060732726623852,5.631841498793975e-12,6.454478227778811e-12
0.15833333333333333,-0.7059646633375133,0,5.18662724314874e-05,0.00040409279609279606,0.06570818753875501,4.7082876634765245e-12,8.093297683622944e-12
0.1625,-0.9858968171678053,0,4.916632782754395e-05,0.0003755106227106227,0.06344043239986541,4.752432607346035e-12,9.817196846562651e-12
0.16666666666666666,-0.6919741366196075,0,5.575569149834685e-05,0.00040655677655677654,0.06235240979709057,4.421712620098432e-12,7.422462077005343e-12
0.17083333333333334,-0.4891429098428546,0,6.377783012181231e-05,0.0005484820512820513,0.04207296390437805,3.9616221309444424e-12,5.874301682371818e-12
0.175,-0.4481660381018206,0,6.344126907948137e-05,0.0005484820512820513,0.043624645635071894,3.922453105362948e-12,4.945245516105644e-12
0.17916666666666667,-0.6132989064615526,0,5.35023504892313e-05,0.00047160586080586083,0.05787676864389528,3.5364899400494296e-12,4.342133529520745e-12
0.18333333333333332,-0.5774416501797874,0,5.2996690862913866e-05,0.00047160586080586083,0.05942173499680589,4.705959852072389e-12,6.288089862042432e-12
0.1875,-1.914212430772787,0,4.459498665888297e-05,0.0003420004884004884,0.04367175595818425,5.059632401153126e-12,7.689972449470356e-12
0.19166666666666668,-1.8031615757588386,0,4.459360080964194e-05,0.00034002930402930406,0.047338801953987736,4.5421619979545686e-12,7.33119410037164e-12
0.19583333333333333,-1.4788966193485957,0,4.805404446310147e-05,0.0003567843711843712,0.05190293905842122,4.1187006498225784e-12,7.07264384501817e-12
0.2,-1.4713144240573304,0,5.118722997402725e-05,0.0003493924297924298,0.05036678763296152,4.015739628460021e-12,6.044583279925455e-12
0.20416666666666666,0.66714376649738,0,8.258328585440829e-05,0.0006046608058608057,0.053103992084718776,3.680816783096579e-12,5.269849188821852e-12
0.20833333333333334,0.7913611051444412,0,9.60752891537783e-05,0.0006046608058608057,0.044944881301824655,3.2356540571938336e-12,5.145826064135987e-12
0.2125,0.449339215779492,0,9.194321941395407e-05,0.0005652371184371185,0.04352721767111567,4.61470710312517e-12,6.043899557741506e-12
0.21666666666666667,0.7761766171233219,0,9.546703302152574e-05,0.0005879057387057387,0.04730665807895837,5.278264686959945e-12,7.296732435618319e-12
0.22083333333333333,0.4229220311897218,0,8.651008061436842e-05,0.0005184214896214896,0.053925266000068986,4.998442254404256e-12,7.743067738347218e-12
0.225,0.25524142172506314,0,8.076206979173256e-05,0.0005287702075702076,0.05247847174160826,4.303029437025261e-12,7.276403625248029e-12
0.22916666666666666,0.4746657774314626,0,8.147514947111238e-05,0.0005307413919413919,0.0582889654416584,4.2172281796236096e-12,6.863664728305487e-12
0.23333333333333334,1.1584515710769074,0,8.896716264221423e-05,0.000605153601953602,0.06240618264599996,4.695481691142103e-12,6.521594689369009e-12
0.2375,0.8876575556743139,0,7.755681881497027e-05,0.000605153601953602,0.06423683682579628,4.8311442550683254e-12,6.6094277366890414e-12
0.24166666666666667,-0.46931357021423736,0,6.322753241198127e-05,0.0004716058608058608,0.053661015155354805,4.69571035428255e-12,6.38696148122719e-12
0.24583333333333332,0.3352005418816119,0,8.376724401025406e-05,0.0005174358974358974,0.05380773995253494,5.328088746340488e-12,6.674508461927696e-12
0.25,0.8786011635746245,0,8.958421873600276e-05,0.0005716434676434676,0.05787359485841552,5.191706034631966e-12,7.356536161440326e-12
0.25416666666666665,0.19699125557424707,0,6.832286094860414e-05,0.0005716434676434676,0.055869905096493935,5.075863293366834e-12,7.333208883983366e-12
0.25833333333333336,-1.2821859842013137,0,4.2029242493629615e-05,0.0002996200244200244,0.07106290788732822,4.587075273080167e-12,7.518979427873002e-12
0.2625,-0.4297477458264869,0,4.6509527353588245e-05,0.0003420004884004884,0.08738058743609249,4.528467085979705e-12,7.169007809052781e-12
0.26666666666666666,-0.6598626545429201,0,5.878122170469354e-05,0.00045485079365079365,0.05406070592269829,4.158912611848988e-12,7.063528419849325e-12
0.2708333333333333,-0.7754130323006131,0,5.7946433109999725e-05,0.00045485079365079365,0.05126624265930867,4.8594473258346114e-12,6.1408380637223754e-12
0.275,0.2570590430713504,0,6.160542578838058e-05,0.000579035409035409,0.06265217306055602,5.4619049002705325e-12,7.390848796399595e-12
0.2791666666666667,-0.0896432613315929,0,5.950814345223252e-05,0.000579035409035409,0.053906401252043934,4.2365354632507095e-12,6.743958188137884e-12
0.2833333333333333,0.017539148513125102,0,6.895670136284399e-05,0.0005445396825396825,0.05351887332879288,4.23096789140273e-12,4.919571720699911e-12
0.2875,0.2688492152365639,0,6.853281994751176e-05,0.0005445396825396825,0.061581477158157275,4.5920522145276665e-12,4.85620663444375e-12
0.2916666666666667,-0.6830049196847043,0,6.13889533574141e-05,0.0004440092796092796,0.05252138431099322,4.536412790399837e-12,5.106692272108831e-12
0.29583333333333334,0.8540962502837478,0,9.185902910661764e-05,0.0005568595848595849,0.057125819091475606,5.2587227417289055e-12,6.313190297438558e-12
0.3,0.6487838651210117,0,8.029392454240078e-05,0.0005489748473748474,0.06217283577788323,5.147676687759531e-12,8.329978686430279e-12
0.30416666666666664,0.07083025060745285,0,6.952546173369202e-05,0.0005824849816849817,0.0494651683950921,5.1962637942060236e-12,9.32888163628419e-12
0.30833333333333335,0.530058451732448,0,7.871167659687209e-05,0.0005923409035409036,0.054024201333804554,5.4144046740419386e-12,7.295273356114513e-12
0.3125,0.8953115034297728,0,8.232792305804192e-05,0.0006081103785103785,0.05983849420742546,5.45432265559273e-12,5.893801325179726e-12
